Code,BirthYear,Sex,Mum,BirthWt,AgeAtDeath,MaleLBS,FemaleLBS
OPA04,2004,1, STO96,6.73,0,NA,0
OPA06,2006,1, STO96,7.82,0,NA,0
ORC95,1995,1, CRO90,7.12,13,NA,5
ORC97,1997,1, CRO90,7.44,4,NA,1
ORC98,1998,2, CRO90,8.62,1,0,NA
ORP92,1992,1, CLA87,5.21,7,NA,3
OTA80,1980,1, OTAGG,6.695,16,NA,9
OTA81,1981,2, OTAGG,7.49,1,0,NA
OXA01,2001,1, SRL91,8.18,0,NA,0
OXA05,2005,1, SRL91,7.52,0,NA,0
OXA95,1995,1, SRL91,6.32,6,NA,3
OXL83,1983,2, PRI79,6.54,0,0,NA
OXL90,1990,2, PRI79,6.7,0,0,NA
OXY00,2000,2, DOC96,4.94,0,0,NA
OXY05,2005,1, DOC96,7.58,11,NA,5
PAN00,2000,1, PID95,5.11,13,NA,7
PAN01,2001,1, PID95,4.62,0,NA,0
PAN02,2002,1, PID95,5.52,0,NA,0
PAN03,2003,2, PID95,6.94,1,0,NA
PAN04,2004,1, PID95,6.04,0,NA,0
PAP87,1987,1, CAL82,7.84,16,NA,8
PAP88,1988,2, CAL82,6.44,0,0,NA
PAP91,1991,2, CAL82,7.2,1,0,NA
PAP94,1994,2, CAL82,8.48,12,1,NA
PCO03,2003,1, VIO97,7.11,0,NA,0
PCO04,2004,2, VIO97,6.91,0,0,NA
PEC90,1990,2, SCO76,6.68,10,2,NA
PEC92,1992,1, SCO76,5.98,0,NA,0
PEL87,1987,2, MOS83,6.12,0,0,NA
PEL89,1989,2, MOS83,6.28,10,0,NA
PEL91,1991,1, MOS83,6.36,0,NA,0
PEL92,1992,2, MOS83,7.825,0,0,NA
PEN84,1984,2, BAR80,6.08,1,0,NA
PEN85,1985,2, BAR80,7.27,0,0,NA
PEN86,1986,2, BAR80,6.14,1,0,NA
PEN87,1987,1, BAR80,7.85,2,NA,0
PEN88,1988,2, BAR80,7.2,0,0,NA
PEN90,1990,1, BAR80,7.225,14,NA,8
PEN91,1991,2, BAR80,6.88,0,0,NA
PEN92,1992,1, BAR80,5.655,0,NA,0
PEP88,1988,2, MUS81,6.68,6,0,NA
PEP94,1994,2, MUS81,5.06,0,0,NA
PEP99,1999,2, MUS81,4.74,0,0,NA
PET83,1983,1, FAG79,6.46,9,NA,4
PET85,1985,1, FAG79,7.64,11,NA,7
PET87,1987,1, FAG79,6.64,17,NA,9
PGB85,1985,1, SOB68,7.12,0,NA,0
PHL95,1995,1, PID89,3.9,0,NA,0
PHL96,1996,1, PID89,6.64,4,NA,1
PHL98,1998,2, PID89,6.98,0,0,NA
PHO80,1980,2, FEE75,6.9,0,0,NA
PIC90,1990,2, MUS85,7.32,9,1,NA
PID89,1989,1, LIM85,6.68,9,NA,5
PID91,1991,1, LIM85,5.68,1,NA,0
PID92,1992,1, LIM85,3.9,0,NA,0
PID95,1995,1, LIM85,5.64,14,NA,9
PID97,1997,1, LIM85,6.25,14,NA,9
PID99,1999,1, LIM85,5.21,1,NA,0
PIL99,1999,2, HER93,9.56,0,0,NA
PIN80,1980,1, TAL70,6.125,0,NA,0
PIN83,1983,1, TAL70,4.22,0,NA,0
PLO82,1982,1, TRN74,6.455,18,NA,14
PLO84,1984,2, TRN74,6.44,6,0,NA
PLO86,1986,2, TRN74,5.25,0,0,NA
PLO88,1988,1, TRN74,4.94,0,NA,0
PMP04,2004,2, MNT99,7.065,0,0,NA
PNT98,1998,2, MOO94,6.955,0,0,NA
POL81,1981,1, POLLU,5.28,0,NA,0
POL84,1984,2, POLLU,7.66,1,0,NA
POM03,2003,2, BNX93,7.64,0,0,NA
POM04,2004,1, BNX93,5.525,0,NA,0
POM97,1997,1, BNX93,6.58,16,NA,11
POM99,1999,2, BNX93,6.14,0,0,NA
POR92,1992,1, OAT87,7.62,0,NA,0
PPK94,1994,1, PEP90,6.19,1,NA,0
PRA89,1989,1, TER84,7.14,1,NA,0
PRA91,1991,1, TER84,7.975,4,NA,0
PRC05,2005,2, TRT98,6.85,0,0,NA
PRI81,1981,1, PGB74,7.88,0,NA,0
PRK83,1983,2, OTA78,6.9,11,2,NA
PRN01,2001,2, OXA95,7.32,6,2,NA
PRS93,1993,2, ATH89,6.16,14,0,NA
PRT96,1996,1, ORP92,5.78,1,NA,0
PRT99,1999,2, ORP92,6.64,0,0,NA
PTL00,2000,2, MNX89,4.595,1,0,NA
PTL02,2002,2, MNX89,4.46,1,0,NA
PTL93,1993,2, MNX89,4.78,8,0,NA
PTL94,1994,1, MNX89,4.41,0,NA,0
PTL95,1995,2, MNX89,4.475,1,0,NA
PTL96,1996,1, MNX89,5.44,0,NA,0
PTL97,1997,1, MNX89,5.5,1,NA,0
PTL98,1998,1, MNX89,4.65,0,NA,0
PTN87,1987,1, LIM83,4.8,0,NA,0
PTN89,1989,2, LIM83,5.54,0,0,NA
PTN90,1990,2, LIM83,4.74,0,0,NA
PTN92,1992,1, LIM83,5.24,0,NA,0
PTN93,1993,1, LIM83,4.98,10,NA,4
PUF01,2001,2, POM97,4.24,0,0,NA
PUF03,2003,1, POM97,6.02,0,NA,0
PUF04,2004,1, POM97,4.31,0,NA,0
PUF05,2005,2, POM97,3.53,0,0,NA
QUA81,1981,2, BR274,3.98,0,0,NA
QUA83,1983,1, BR274,3.725,0,NA,0
QUA87,1987,2, BR274,5.21,1,0,NA
QUI82,1982,2, MEL77,5.28,0,0,NA
QUN92,1992,2, CAF89,5.42,0,0,NA
QUN96,1996,1, CAF89,7.02,0,NA,0
QUN99,1999,1, CAF89,7.295,0,NA,0
RAN81,1981,1, YTA75,7.535,0,NA,0
RAN82,1982,2, YTA75,7.22,0,0,NA
RAP03,2003,1, THU94,7.98,9,NA,2
RAP06,2006,1, THU94,7.08,10,NA,5
RAP97,1997,1, THU94,6.68,6,NA,1
RAP98,1998,2, THU94,7.44,1,0,NA
RBY02,2002,1, STO98,7.095,14,NA,7
RED81,1981,2, REDYE,7.82,10,5,NA
RED82,1982,1, REDYE,5.04,10,NA,5
RGR81,1981,2, RGRHI,4.6,0,0,NA
RHY82,1982,2, MOS78,7.34,12,16,NA
RHY84,1984,2, MOS78,7.35,8,1,NA
RHY86,1986,1, MOS78,8.12,13,NA,6
RHY88,1988,1, MOS78,7.64,7,NA,4
RHY92,1992,1, MOS78,7.64,0,NA,0
RIB00,2000,2, BCL96,7.02,0,0,NA
RIB03,2003,1, BCL96,7.11,1,NA,0
RMX01,2001,2, DOC97,6.56,0,0,NA
ROM98,1998,2, TIN95,3.84,1,0,NA
RPP03,2003,1, RUF00,6.05,6,NA,4
RPP05,2005,1, RUF00,7.54,0,NA,0
RUB05,2005,2, GRA98,6.66,3,0,NA
RUB06,2006,1, GRA98,5.68,0,NA,0
RUF00,2000,1, GOD97,4.14,13,NA,9
RUF03,2003,2, GOD97,6.765,0,0,NA
RUF04,2004,1, GOD97,4.78,0,NA,0
RUF05,2005,1, GOD97,5.18,0,NA,0
RUM99,1999,1, STI96,3.5,0,NA,0
SAF80,1980,1, CRT76,5.68,18,NA,9
SAF82,1982,2, CRT76,6.855,10,9,NA
SAF83,1983,2, CRT76,3.75,0,0,NA
SAF84,1984,2, CRT76,6.34,3,0,NA
SAF85,1985,2, CRT76,7.02,13,8,NA
SAF90,1990,2, CRT76,7.31,0,0,NA
SAF92,1992,2, CRT76,6.995,0,0,NA
SAG03,2003,2, SEM95,8.11,1,0,NA
SAG04,2004,1, SEM95,6.74,0,NA,0
SAG06,2006,1, SEM95,6.98,0,NA,0
SAG99,1999,2, SEM95,6.4,0,0,NA
SAM88,1988,1, CAL84,6.58,0,NA,0
SAM91,1991,2, CAL84,6.75,0,0,NA
SAM92,1992,2, CAL84,7.14,0,0,NA
SAP06,2006,2, RBY02,6.18,0,0,NA
SAT87,1987,2, CLM82,6.68,1,0,NA
SCA91,1991,2, LOB86,4.52,0,0,NA
SCA93,1993,2, LOB86,6.38,0,0,NA
SCA95,1995,2, LOB86,7.56,1,0,NA
SCA98,1998,1, LOB86,6.96,0,NA,0
SCI85,1985,2, BLO80,7.32,0,0,NA
SCI87,1987,2, BLO80,8.44,13,25,NA
SCO83,1983,1, SCOLL,5.12,6,NA,2
SCR99,1999,2, GRA93,5.84,0,0,NA
SEE93,1993,1, SES89,4.81,2,NA,0
SEM90,1990,2, WHE84,6.06,2,0,NA
SEM91,1991,1, WHE84,6.84,0,NA,0
SEM92,1992,2, WHE84,7.32,0,0,NA
SEM95,1995,1, WHE84,6.62,18,NA,9
SEQ01,2001,1, SYC91,6.24,15,NA,12
SEQ96,1996,1, SYC91,6.44,14,NA,6
SEQ97,1997,2, SYC91,7.08,0,0,NA
SEQ99,1999,1, SYC91,6.76,14,NA,7
SER01,2001,1, HRM95,6.065,0,NA,0
SER99,1999,2, HRM95,5.84,0,0,NA
SES87,1987,2, HAR82,5.38,1,0,NA
SES88,1988,2, HAR82,5.66,0,0,NA
SES89,1989,1, HAR82,4.66,7,NA,3
SES92,1992,2, HAR82,5.26,0,0,NA
SES94,1994,2, HAR82,7.275,0,0,NA
SHA92,1992,1, BCL87,6.56,0,NA,0
SHI99,1999,2, GRA95,5.995,0,0,NA
SHL01,2001,1, GRA96,3.95,1,NA,0
SHL04,2004,1, GRA96,6.02,0,NA,0
SIE82,1982,1, MEL75,5.72,10,NA,3
SIG06,2006,2, RPP03,4.16,0,0,NA
SIS91,1991,2, SIC78,6.995,0,0,NA
SKI94,1994,1, OAT90,5.84,8,NA,3
SKI97,1997,2, OAT90,5.94,1,0,NA
SKU01,2001,1, FUL86,3.52,0,NA,0
SKU91,1991,1, FUL86,5.28,0,NA,0
SKU93,1993,2, FUL86,5.76,2,0,NA
SKU94,1994,1, FUL86,6.06,0,NA,0
SKU95,1995,2, FUL86,6.48,1,0,NA
SKU97,1997,2, FUL86,6.82,13,3,NA
SKU99,1999,1, FUL86,4.42,0,NA,0
SLL04,2004,1, PAN00,4.75,0,NA,0
SLO00,2000,1, GIN93,5.21,0,NA,0
SLO01,2001,1, GIN93,6.41,12,NA,6
SLO98,1998,2, GIN93,6.64,1,0,NA
SLO99,1999,2, GIN93,5.48,0,0,NA
SLR03,2003,1, FLG98,5.84,0,NA,0
SLR05,2005,2, FLG98,4.88,0,0,NA
SLR06,2006,1, FLG98,4.68,0,NA,0
SME84,1984,1, TEA78,3.895,15,NA,6
SME87,1987,1, TEA78,4.58,1,NA,0
SME90,1990,2, TEA78,6.54,0,0,NA
SNI81,1981,1, GRE73,7.14,0,NA,0
SOL88,1988,1, THO84,6.74,0,NA,0
SOL92,1992,2, THO84,8.9,0,0,NA
SPI97,1997,1, HAL94,6.48,3,NA,0
SPI99,1999,1, HAL94,7.265,0,NA,0
SQU00,2000,2, EGR91,8.12,0,0,NA
SRL91,1991,1, OCH87,6.76,16,NA,9
SRL92,1992,2, OCH87,7.17,0,0,NA
SSK04,2004,1, CHF01,5.41,0,NA,0
SSK06,2006,1, CHF01,5.98,9,NA,5
STA00,2000,2, GAL89,7.36,0,0,NA
STA94,1994,1, GAL89,6.42,0,NA,0
STA95,1995,2, GAL89,4.48,0,0,NA
STA97,1997,1, GAL89,6.24,12,NA,7
STI02,2002,1, AVO89,7.62,14,NA,10
STI93,1993,2, AVO89,6.9,0,0,NA
STI95,1995,2, AVO89,5.86,7,0,NA
STI96,1996,1, AVO89,7.04,17,NA,10
STI98,1998,2, AVO89,6.22,1,0,NA
STO01,2001,1, WHA89,7.18,0,NA,0
STO93,1993,1, WHA89,6.6,0,NA,0
STO94,1994,1, WHA89,5.76,0,NA,0
STO96,1996,1, WHA89,8.78,15,NA,9
STO98,1998,1, WHA89,6.575,17,NA,8
STR00,2000,1, MNX90,6.44,8,NA,2
STR03,2003,1, MNX90,8.18,1,NA,0
STR96,1996,1, MNX90,7.94,16,NA,5
SUL84,1984,1, TER80,4.28,0,NA,0
SUL88,1988,1, TER80,7.12,0,NA,0
SUL90,1990,1, TER80,7.21,18,NA,10
SUL91,1991,1, TER80,6.19,0,NA,0
SUL92,1992,2, TER80,6.94,0,0,NA
SUL94,1994,1, TER80,6.44,12,NA,9
SUL96,1996,1, TER80,8.22,3,NA,0
SUN89,1989,2, RHY86,7.12,0,0,NA
SUN93,1993,1, RHY86,8.625,15,NA,7
SUN94,1994,2, RHY86,8.325,1,0,NA
SUR86,1986,2, THO82,7.54,13,3,NA
SUR87,1987,1, THO82,6.76,19,NA,10
SUR92,1992,2, THO82,8.155,0,0,NA
SUR94,1994,2, THO82,9.32,5,0,NA
SUT98,1998,2, TWE93,4.78,0,0,NA
SWA02,2002,2, SWI88,5.03,1,0,NA
SWA98,1998,2, SWI88,7.46,9,2,NA
SWI89,1989,1, TER83,4.82,2,NA,0
SWI91,1991,2, TER83,6.74,0,0,NA
SWI92,1992,2, TER83,5.18,0,0,NA
SYC00,2000,2, PET87,6.1,15,15,NA
SYC02,2002,2, PET87,5.84,13,15,NA
SYC91,1991,1, PET87,3.78,16,NA,9
SYC93,1993,1, PET87,5.52,0,NA,0
SYC94,1994,2, PET87,5.625,9,0,NA
SYC98,1998,2, PET87,6.44,1,0,NA
TAA98,1998,2, ALB93,7.72,0,0,NA
TAM92,1992,2, RHY88,6.515,0,0,NA
TAM95,1995,1, RHY88,7.31,0,NA,0
TEA80,1980,2, TAL71,7.44,11,2,NA
TEA82,1982,2, TAL71,5.78,0,0,NA
TER80,1980,1, TRN72,6.28,16,NA,11
THO80,1980,1, YTA74,6.86,4,NA,2
THO81,1981,1, YTA74,8.58,13,NA,5
THO82,1982,1, YTA74,8,17,NA,9
THO86,1986,1, YTA74,7.64,14,NA,10
THO87,1987,1, YTA74,6.935,1,NA,0
THO89,1989,1, YTA74,6.68,0,NA,0
THS91,1991,2, PAP87,6.48,0,0,NA
THS92,1992,1, PAP87,7.1,0,NA,0
THS93,1993,1, PAP87,6.38,0,NA,0
THS96,1996,1, PAP87,8.64,10,NA,5
THU91,1991,1, UMB84,6.1,15,NA,7
THU94,1994,1, UMB84,7.02,12,NA,6
THU96,1996,1, UMB84,6.88,13,NA,6
TIC01,2001,2, CLO96,6.38,0,0,NA
TIC04,2004,1, CLO96,3.995,0,NA,0
TIC06,2006,1, CLO96,5.4,0,NA,0
TIG86,1986,2, OTA80,7.24,9,0,NA
TIG92,1992,2, OTA80,7.62,0,0,NA
TIK00,2000,2, HAL95,7.58,0,0,NA
TIK01,2001,1, HAL95,6.92,5,NA,2
TIK04,2004,1, HAL95,6.75,0,NA,0
TIN00,2000,1, THU91,6.025,16,NA,7
TIN06,2006,1, THU91,5.94,0,NA,0
TIN97,1997,2, THU91,5.32,1,0,NA
TIT81,1981,2, CLE75,7.14,0,0,NA
TIT84,1984,1, CLE75,5.17,15,NA,8
TLW91,1991,1, CAN87,6.48,1,NA,0
TLW93,1993,2, CAN87,7.725,0,0,NA
TNG92,1992,2, FAN88,5.78,0,0,NA
TNG94,1994,2, FAN88,8.06,10,13,NA
TNG99,1999,1, FAN88,6.42,15,NA,5
TNY88,1988,1, TIT84,7.9,0,NA,0
TNY90,1990,2, TIT84,7.55,0,0,NA
TNY91,1991,1, TIT84,6.66,1,NA,0
TNY94,1994,2, TIT84,8.125,13,48,NA
TNY98,1998,1, TIT84,8.04,0,NA,0
TOG90,1990,1, BCL84,5.565,0,NA,0
TOG91,1991,1, BCL84,6.02,0,NA,0
TOG92,1992,2, BCL84,5.425,0,0,NA
TOR80,1980,2, TRN69,6.74,0,0,NA
TOU87,1987,2, CAN82,6.12,6,0,NA
TRA80,1980,2, GRC76,5.22,0,0,NA
TRA81,1981,2, GRC76,6.98,0,0,NA
TRA83,1983,2, GRC76,4.94,14,1,NA
TRA84,1984,2, GRC76,5.32,1,0,NA
TRA87,1987,2, GRC76,4.42,0,0,NA
TRI98,1998,1, FEA94,5.08,0,NA,0
TRK87,1987,1, UPT82,9.48,20,NA,13
TRK88,1988,2, UPT82,7.7,0,0,NA
TRN80,1980,1, TRNRI,4.98,0,NA,0
TRT02,2002,2, OCH90,7.52,12,7,NA
TRT94,1994,2, OCH90,6.73,0,0,NA
TRT95,1995,2, OCH90,5.275,1,0,NA
TRT96,1996,1, OCH90,7.14,0,NA,0
TRT98,1998,1, OCH90,7.78,16,NA,9
TSL00,2000,2, THS96,5.12,1,0,NA
TSL02,2002,2, THS96,6.495,0,0,NA
TSL03,2003,1, THS96,7.06,0,NA,0
TSL04,2004,1, THS96,6.64,0,NA,0
TUR83,1983,1, MUS77,6.91,16,NA,10
TUR85,1985,1, MUS77,6.855,14,NA,7
TUR87,1987,1, MUS77,7.24,5,NA,1
TUR92,1992,2, MUS77,7.64,0,0,NA
TUS95,1995,2, JUG91,6.885,0,0,NA
TWA01,2001,2, ORC97,5.595,0,0,NA
TWE91,1991,1, SEP84,5.08,1,NA,0
TYS81,1981,1, TOR75,6.72,0,NA,0
TYS82,1982,1, TOR75,5.54,0,NA,0
TYS83,1983,2, TOR75,6.42,15,24,NA
TYS84,1984,1, TOR75,7.38,1,NA,0
TYS85,1985,2, TOR75,6.64,11,0,NA
TYS87,1987,2, TOR75,6.375,0,0,NA
TYS89,1989,2, TOR75,6.66,14,18,NA
UKL06,2006,1, FDL99,5.22,4,NA,1
UMB80,1980,1, MEL76,5.58,14,NA,8
UMB82,1982,2, MEL76,6.32,0,0,NA
UMB83,1983,2, MEL76,4.72,0,0,NA
UMB84,1984,1, MEL76,5.92,12,NA,3
UMB87,1987,2, MEL76,4.44,0,0,NA
UMB88,1988,1, MEL76,5.58,0,NA,0
UPT82,1982,1, UPTUR,6.04,7,NA,4
VEN95,1995,2, APH91,6.01,0,0,NA
VER80,1980,1, RGR71,7.91,1,NA,0
VER81,1981,2, RGR71,9.395,11,24,NA
VER82,1982,1, RGR71,6.025,0,NA,0
VER83,1983,1, RGR71,7.4,0,NA,0
VER84,1984,2, RGR71,7.36,11,6,NA
VIN88,1988,2, MUS84,6.98,13,5,NA
VIO89,1989,1, CLA85,4.66,17,NA,9
VIO90,1990,2, CLA85,7.095,0,0,NA
VIO92,1992,1, CLA85,7.12,0,NA,0
VIO94,1994,2, CLA85,7.62,0,0,NA
VIO95,1995,2, CLA85,7.08,0,0,NA
VIO96,1996,1, CLA85,7.28,12,NA,5
VIO97,1997,1, CLA85,7.925,14,NA,6
VIX80,1980,2, LTF73,3.92,0,0,NA
WAG01,2001,1, LPW91,5.94,0,NA,0
WAG03,2003,2, LPW91,6.81,1,0,NA
WAG04,2004,1, LPW91,7.51,0,NA,0
WAG96,1996,1, LPW91,5.98,15,NA,7
WAL00,2000,2, DIC95,5.725,1,0,NA
WAL01,2001,1, DIC95,5.92,0,NA,0
WAL03,2003,1, DIC95,5.98,13,NA,9
WAL04,2004,2, DIC95,7.295,0,0,NA
WAL05,2005,2, DIC95,6.74,0,0,NA
WAL99,1999,2, DIC95,5.73,0,0,NA
WAN83,1983,1, WAX80,6.02,4,NA,1
WAN91,1991,2, WAX80,5.44,1,0,NA
WAX80,1980,1, WHI76,5.92,11,NA,7
WAX82,1982,2, WHI76,7.075,0,0,NA
WAX84,1984,2, WHI76,6.86,0,0,NA
WEE81,1981,2, WHE77,5.44,0,0,NA
WEE87,1987,2, WHE77,7.32,1,0,NA
WEE89,1989,1, WHE77,7.11,0,NA,0
WHA82,1982,1, CUR78,7.32,0,NA,0
WHA83,1983,1, CUR78,5.055,11,NA,5
WHA84,1984,2, CUR78,7.375,2,0,NA
WHA86,1986,2, CUR78,7.52,0,0,NA
WHA87,1987,1, CUR78,6.66,13,NA,7
WHA89,1989,1, CUR78,7.865,13,NA,7
WHA91,1991,1, CUR78,6.82,1,NA,0
WHE83,1983,1, UPR74,6.02,0,NA,0
WHE84,1984,1, UPR74,5.54,11,NA,6
WHE86,1986,1, UPR74,4.94,1,NA,0
WHE88,1988,1, UPR74,3.78,0,NA,0
WHI82,1982,2, WHIGR,6.42,0,0,NA
WHO85,1985,1, MYR74,7.86,0,NA,0
WHO87,1987,1, MYR74,6.48,0,NA,0
WHS83,1983,1, BAR79,4.04,0,NA,0
WHS84,1984,1, BAR79,6.64,1,NA,0
WHS85,1985,2, BAR79,7.255,0,0,NA
WHS87,1987,1, BAR79,6.34,1,NA,0
WHS88,1988,1, BAR79,6.04,0,NA,0
WHS91,1991,2, BAR79,4.71,0,0,NA
WHZ02,2002,1, CGH94,7.38,12,NA,3
WHZ03,2003,1, CGH94,7.225,1,NA,0
WHZ98,1998,1, CGH94,6.36,0,NA,0
WID85,1985,1, MOW71,6.68,11,NA,2
WIG80,1980,2, TEA76,6.84,0,0,NA
WIG81,1981,2, TEA76,6.25,0,0,NA
WIG83,1983,2, TEA76,6.615,0,0,NA
WIG85,1985,2, TEA76,6.18,14,1,NA
WIG87,1987,2, TEA76,4.24,0,0,NA
WIG88,1988,2, TEA76,5.94,0,0,NA
WIL89,1989,1, FUL85,5.72,0,NA,0
WIL91,1991,2, FUL85,6.34,0,0,NA
WOD90,1990,2, CAP84,9.4,10,4,NA
WOD91,1991,2, CAP84,6.64,0,0,NA
WOD92,1992,1, CAP84,5.82,0,NA,0
WOD96,1996,2, CAP84,5.74,9,9,NA
WOD98,1998,2, CAP84,7.22,0,0,NA
WSD03,2003,1, MLR96,7.76,0,NA,0
YEW99,1999,1, HOL94,7.1,15,NA,6
YEY80,1980,1, YEEYE,6.88,6,NA,2
YOS00,2000,1, SEQ96,5.395,0,NA,0
YOS01,2001,1, SEQ96,6.32,13,NA,4
YOS03,2003,2, SEQ96,8.02,1,0,NA
YTA80,1980,2, YTAGG,6.62,0,0,NA
ZAN95,1995,2, ALD91,6.98,0,0,NA
ZAN98,1998,1, ALD91,7.08,2,NA,0
ZUC00,2000,1, CUC91,4.98,0,NA,0
ZUC01,2001,1, CUC91,5.68,15,NA,6
ZUC05,2005,1, CUC91,5.84,0,NA,0
ZUC06,2006,2, CUC91,5.62,0,0,NA
ZUC96,1996,2, CUC91,5.62,9,4,NA
ZUC98,1998,2, CUC91,7.68,10,10,NA
